id,title,url,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,contentInfo,publishedTime,,,Is Paid,Total,Column1
1160004,Design a logo for FREE in Inkscape,https://www.udemy.com/logoinkscape/,TRUE,100,1148,26,42,All Levels,2 hours,2017-05-01T18:32:43Z,,,,,
1087244,Foundation Skills on Adobe Illustrator: Learn Fast!,https://www.udemy.com/foundation_skills_illustrator/,TRUE,50,2489,39,16,Beginner Level,2 hours,2017-03-01T21:54:39Z,,,,,
1169062,How To Create Amazing Cinemagraphs with Microsoft PowerPoint,https://www.udemy.com/how-to-create-amazing-cinemagraphs-with-microsoft-powerpoint/,TRUE,30,1782,18,10,Beginner Level,1 hour,2017-04-05T20:39:33Z,,,,,
520468,Canva : Graphic Design Theory Volume1,https://www.udemy.com/canva-course-graphic-design-theory-in-social-media-volume-1/,TRUE,200,6975,122,29,All Levels,2.5 hours,2015-06-05T21:37:33Z,,,,,
693812,Master App Icon Design for iPhone (IOS) & Android Devices,https://www.udemy.com/how-to-design-ios-app-icons/,TRUE,25,9464,329,43,Intermediate Level,2 hours,2015-12-21T18:57:07Z,,,,,
1196852,Photoshop: How to create stunning collages,https://www.udemy.com/photoshop-how-to-create-stunning-collages-in-5-minutes/,TRUE,20,2044,17,15,Beginner Level,1.5 hours,2017-05-09T16:40:58Z,,,,,
1149656,Mastering advance Photoshop,https://www.udemy.com/advanced-photoshop-practical-projectspsd-files/,TRUE,20,5787,40,21,Intermediate Level,2 hours,2017-04-27T23:39:34Z,,,,,
385462,Logo Designing for Your Business in an Hour,https://www.udemy.com/logo-designing-side-business/,TRUE,20,25277,311,16,All Levels,1 hour,2015-01-05T10:43:48Z,,,,,
1094930,DIY Design Professional Web Banners in Photoshop 4 Beginners,https://www.udemy.com/design-professional-web-banners-in-photoshop-for-beginners/,TRUE,200,6944,30,24,Beginner Level,1 hour,2017-02-01T15:44:11Z,,,,,
561188,Photoshop CC for Beginners - A Comprehensive Crash Course,https://www.udemy.com/photoshop-cc-for-beginners-a-comprehensive-crash-course/,TRUE,200,6028,205,20,Beginner Level,2.5 hours,2015-07-29T18:35:20Z,,,,,
600486,Teoria Basica del Arte. Como Pintar Ilustraciones Digitales,https://www.udemy.com/teoria-basica-del-arte-como-pintar-ilustraciones-digitales/,TRUE,20,5104,437,26,Beginner Level,1 hour,2015-09-08T17:29:12Z,,,,,
501140,Illustrator CC para novatos: ¡desde cero hasta experto! ,https://www.udemy.com/illustrator-cc-para-novatos-desde-cero-hasta-experto/,TRUE,150,2476,466,96,All Levels,11 hours,2015-12-29T20:10:55Z,,,,,
405488,Photoshop para novatos:  ¡desde cero hasta experto!,https://www.udemy.com/aprende-photoshop-en-10-dias-desde-cero-a-experto/,TRUE,150,3000,470,134,All Levels,12 hours,2015-01-30T17:41:47Z,,,,,
1219326,Diventa un professionista del Graphic Design,https://www.udemy.com/diventa-un-professionista-del-graphic-design/,TRUE,200,185,10,94,All Levels,17.5 hours,2017-05-24T17:02:19Z,,,,,
1029554,Formação em Design Gráfico com Corel Draw Versões X8 / 2017.,https://www.udemy.com/formacao-design-grafico-com-corel-draw-x8/,TRUE,45,418,85,71,Beginner Level,11 hours,2017-03-03T20:08:35Z,,,,,
1009068,ABC do Photoshop CC,https://www.udemy.com/abc-do-photoshop-cc/,TRUE,45,431,99,80,Beginner Level,7.5 hours,2016-11-21T17:19:01Z,,,,,
1276020,Photoshop para iniciante - o básico,https://www.udemy.com/photoshop-para-iniciante-o-basico/,TRUE,30,23,2,20,Beginner Level,3 hours,2017-07-03T01:36:55Z,,,,,
1202746,Curso Online de Adobe Illustrator CC e CS6,https://www.udemy.com/curso-online-de-adobe-illustrator-cc/,TRUE,80,126,18,119,All Levels,13 hours,2017-05-04T06:11:39Z,,,,,
1226518,Photoshop & Illustrator CC Essentials in Arabic,https://www.udemy.com/photoshop-illustrator-cc-essentials-arabic/,FALSE,Free,3329,193,33,Beginner Level,3.5 hours,2017-05-31T23:16:00Z,,,,,
870368,Photoshop from Zero to Hero ( Arabic ),https://www.udemy.com/photoshop-arabic/,TRUE,60,720,220,82,Beginner Level,12.5 hours,2016-06-29T16:37:18Z,,,,,
1223336,Photoshop Essentials - Uma Introdução Detalhada,https://www.udemy.com/photoshop-introducao/,FALSE,Free,800,39,24,Beginner Level,2.5 hours,2017-05-22T09:58:21Z,,,,,
1257870,Photoshop CC 2015 Top New Features,https://www.udemy.com/photoshop-cc-2015-top-new-features/,FALSE,Free,1477,3,13,All Levels,39 mins,2017-06-26T19:37:58Z,,,,,
519968,Expert Guide : Mastering Types feature in illustrator !,https://www.udemy.com/mastering-types-in-illustrator/,TRUE,190,1552,11,27,All Levels,2.5 hours,2015-11-04T18:38:17Z,,,,,
